model_name,output_size,num_parm,acc,f1,eval_time
layer:68,"[1, 4]",[4],0.7841269841269841,0.7834585142010938,
layer:67,"[1, 512, 1, 1]",[512],0.7936507936507936,0.7941103209508728,
layer:66,"[1, 512, 8, 8]",[32768],0.8095238095238095,0.8100386324024886,
layer:65,"[1, 512, 8, 8]",[32768],0.7904761904761904,0.7866421345642854,
layer:64,"[1, 512, 8, 8]",[32768],0.7873015873015873,0.7876482195499729,
layer:63,"[1, 512, 8, 8]",[32768],0.8031746031746032,0.8054811246254314,
layer:62,"[1, 512, 8, 8]",[32768],0.8285714285714286,0.8287996639479119,
layer:61,"[1, 512, 8, 8]",[32768],0.7746031746031746,0.7768169880994887,
layer:60,"[1, 512, 8, 8]",[32768],0.7746031746031746,0.7772310840489336,
layer:58,"[1, 512, 8, 8]",[32768],0.7968253968253968,0.7976415998666314,
