model_name,output_size,num_parm,acc,f1,eval_time
layer:10,"[1, 4]",[4],0.6666666666666666,0.6454171016210726,
layer:9,"[1, 512, 1, 1]",[512],0.7873015873015873,0.7852024556254997,
layer:8,"[1, 512, 8, 8]",[32768],0.7873015873015873,0.7820681007394538,
layer:7,"[1, 256, 16, 16]",[65536],0.5650793650793651,0.5543299068702028,
layer:6,"[1, 128, 31, 31]",[123008],0.49206349206349204,0.4560719401305426,
layer:5,"[1, 64, 61, 61]",[238144],0.44761904761904764,0.4410440212913147,
layer:4,"[1, 64, 61, 61]",[238144],0.5396825396825397,0.5183244070137679,
layer:3,"[1, 64, 122, 122]",[952576],0.5174603174603175,0.49516362175704454,
layer:2,"[1, 64, 122, 122]",[952576],0.5238095238095238,0.5286535031485372,
layer:1,"[1, 64, 122, 122]",[952576],0.47619047619047616,0.4651353804135305,
layer:0,"[1, 3, 244, 244]",[178608],0.5714285714285714,0.5510858107920857,
