model_name,output_size,num_parm,acc,f1,eval_time
layer:44,"[1, 7]",[7],0.7139291063404892,0.6752689574405087,
layer:43,"[1, 4096]",[4096],0.7373939091362955,0.6922110823878003,
layer:42,"[1, 4096]",[4096],0.7353969046430354,0.6921240304552851,
layer:41,"[1, 4096]",[4096],0.7388916625062406,0.6990756732557094,
layer:40,"[1, 4096]",[4096],0.7229156265601597,0.6659601555908766,
layer:39,"[1, 4096]",[4096],0.7703444832750874,0.7369294234399807,
layer:38,"[1, 4096]",[4096],0.7668497254118821,0.7368073306648895,
layer:37,"[1, 25088]",[25088],0.7363954068896655,0.6861417978283629,
layer:36,"[1, 25088]",[25088],0.7373939091362955,0.687565154621779,
layer:35,"[1, 512, 7, 7]",[25088],0.7363954068896655,0.6859086653712505,
layer:34,"[1, 512, 7, 7]",[25088],0.7353969046430354,0.6825067045711377,
layer:33,"[1, 512, 7, 7]",[25088],0.7368946580129805,0.6847879978545075,
layer:32,"[1, 512, 15, 15]",[115200],0.7358961557663505,0.6826559113987235,
layer:31,"[1, 512, 15, 15]",[115200],0.7443834248627059,0.69443774982467,
layer:30,"[1, 512, 15, 15]",[115200],0.7224163754368448,0.6585404429809593,
