model_name,output_size,num_parm,acc,f1,iters
layer:44,"[1, 4]",[4],-0.720635,-0.713915,0
layer:43,"[1, 4096]",[4096],-0.653968,-0.643528,36
layer:42,"[1, 4096]",[4096],-0.647619,-0.63455,30
layer:41,"[1, 4096]",[4096],-0.71746,-0.714045,39
layer:40,"[1, 4096]",[4096],-0.590476,-0.569201,43
layer:39,"[1, 4096]",[4096],-0.669841,-0.657048,28
layer:38,"[1, 4096]",[4096],-0.704762,-0.702112,20
layer:37,"[1, 25088]",[25088],-0.571429,-0.554799,41
layer:36,"[1, 25088]",[25088],-0.606349,-0.596664,64
layer:35,"[1, 512, 7, 7]",[25088],-0.603175,-0.596526,69
layer:34,"[1, 512, 7, 7]",[25088],-0.606349,-0.597645,75
layer:33,"[1, 512, 7, 7]",[25088],-0.596825,-0.593861,75
layer:32,"[1, 512, 14, 14]",[100352],-0.55873,-0.542063,78
layer:31,"[1, 512, 14, 14]",[100352],-0.615873,-0.559834,45
layer:30,"[1, 512, 14, 14]",[100352],-0.565079,-0.557109,36
